sale_id,date_of_sale,item_name,category,quantity_sold,unit_price,payment_mode,customer_type,total_amount
50,2025-01-10,Juice,Beverage,6,40,Card,Student,240
51,2025-01-11,Coffee,Beverage,25,30,Cash,Student,750
52,2025-01-11,Tea,Beverage,15,25,Card,Student,375
53,2025-01-11,Sandwich,Snacks,21,50,Cash,Student,1050
54,2025-01-11,Burger,Snacks,7,70,UPI,Student,490
55,2025-01-11,Juice,Beverage,28,40,Card,Student,1120
56,2025-01-12,Coffee,Beverage,27,30,Card,Staff,810
57,2025-01-12,Tea,Beverage,24,25,Card,Staff,600
58,2025-01-12,Sandwich,Snacks,27,50,Card,Staff,1350
59,2025-01-12,Burger,Snacks,20,70,UPI,Staff,1400
60,2025-01-12,Juice,Beverage,13,40,UPI,Staff,520
61,2025-01-13,Coffee,Beverage,23,30,Cash,Student,690
62,2025-01-13,Tea,Beverage,17,25,Cash,Staff,425
63,2025-01-13,Sandwich,Snacks,8,50,UPI,Student,400
64,2025-01-13,Burger,Snacks,6,70,Card,Staff,420
65,2025-01-13,Juice,Beverage,14,40,Cash,Student,560
66,2025-01-14,Coffee,Beverage,27,30,Card,Staff,810
67,2025-01-14,Tea,Beverage,8,25,UPI,Student,200
68,2025-01-14,Sandwich,Snacks,22,50,UPI,Student,1100
69,2025-01-14,Burger,Snacks,10,70,Cash,Student,700
70,2025-01-14,Juice,Beverage,17,40,UPI,Student,680
71,2025-01-15,Coffee,Beverage,11,30,Cash,Staff,330
72,2025-01-15,Tea,Beverage,15,25,Cash,Staff,375
73,2025-01-15,Sandwich,Snacks,11,50,UPI,Staff,550
74,2025-01-15,Burger,Snacks,13,70,UPI,Staff,910
75,2025-01-15,Juice,Beverage,17,40,Cash,Student,680
76,2025-01-16,Coffee,Beverage,11,30,Cash,Staff,330
77,2025-01-16,Tea,Beverage,22,25,Card,Student,550
78,2025-01-16,Sandwich,Snacks,29,50,Cash,Staff,1450
79,2025-01-16,Burger,Snacks,9,70,UPI,Student,630
80,2025-01-16,Juice,Beverage,9,40,Cash,Staff,360
81,2025-01-17,Coffee,Beverage,25,30,UPI,Staff,750
82,2025-01-17,Tea,Beverage,29,25,Card,Student,725
83,2025-01-17,Sandwich,Snacks,11,50,Card,Staff,550
84,2025-01-17,Burger,Snacks,17,70,Cash,Staff,1190
85,2025-01-17,Juice,Beverage,29,40,UPI,Staff,1160
86,2025-01-18,Coffee,Beverage,17,30,Card,Staff,510
87,2025-01-18,Tea,Beverage,17,25,UPI,Staff,425
88,2025-01-18,Sandwich,Snacks,7,50,UPI,Staff,350
89,2025-01-18,Burger,Snacks,15,70,Card,Staff,1050
90,2025-01-18,Juice,Beverage,17,40,Cash,Student,680
91,2025-01-19,Coffee,Beverage,25,30,Cash,Student,750
92,2025-01-19,Tea,Beverage,21,25,Cash,Staff,525
93,2025-01-19,Sandwich,Snacks,27,50,Cash,Student,1350
94,2025-01-19,Burger,Snacks,28,70,Card,Staff,1960
95,2025-01-19,Juice,Beverage,25,40,Card,Student,1000
96,2025-01-20,Coffee,Beverage,13,30,UPI,Student,390
97,2025-01-20,Tea,Beverage,14,25,UPI,Student,350
98,2025-01-20,Sandwich,Snacks,15,50,UPI,Student,750
99,2025-01-20,Burger,Snacks,28,70,UPI,Staff,1960
100,2025-01-20,Juice,Beverage,27,40,Card,Student,1080
101,2025-01-21,Coffee,Beverage,7,30,Card,Staff,210
102,2025-01-21,Tea,Beverage,15,25,Cash,Student,375
103,2025-01-21,Sandwich,Snacks,25,50,Cash,Student,1250
104,2025-01-21,Burger,Snacks,11,70,Card,Staff,770
105,2025-01-21,Juice,Beverage,24,40,Card,Staff,960
106,2025-01-22,Coffee,Beverage,15,30,UPI,Staff,450
107,2025-01-22,Tea,Beverage,24,25,Card,Staff,600
108,2025-01-22,Sandwich,Snacks,16,50,UPI,Staff,800
109,2025-01-22,Burger,Snacks,25,70,UPI,Staff,1750
110,2025-01-22,Juice,Beverage,24,40,UPI,Staff,960
111,2025-01-23,Coffee,Beverage,11,30,UPI,Staff,330
112,2025-01-23,Tea,Beverage,19,25,UPI,Student,475
113,2025-01-23,Sandwich,Snacks,11,50,Card,Staff,550
114,2025-01-23,Burger,Snacks,24,70,UPI,Student,1680
115,2025-01-23,Juice,Beverage,14,40,Cash,Staff,560
116,2025-01-24,Coffee,Beverage,24,30,UPI,Student,720
117,2025-01-24,Tea,Beverage,10,25,Cash,Student,250
118,2025-01-24,Sandwich,Snacks,5,50,Card,Staff,250
119,2025-01-24,Burger,Snacks,23,70,Cash,Student,1610
120,2025-01-24,Juice,Beverage,21,40,Cash,Staff,840
121,2025-01-25,Coffee,Beverage,15,30,UPI,Student,450
122,2025-01-25,Tea,Beverage,12,25,Cash,Staff,300
123,2025-01-25,Sandwich,Snacks,11,50,Cash,Student,550
124,2025-01-25,Burger,Snacks,25,70,Cash,Student,1750
125,2025-01-25,Juice,Beverage,19,40,UPI,Student,760
126,2025-01-26,Coffee,Beverage,27,30,Card,Staff,810
127,2025-01-26,Tea,Beverage,12,25,Cash,Student,300
128,2025-01-26,Sandwich,Snacks,20,50,UPI,Student,1000
129,2025-01-26,Burger,Snacks,28,70,UPI,Staff,1960
130,2025-01-26,Juice,Beverage,15,40,Card,Staff,600
131,2025-01-27,Coffee,Beverage,27,30,Cash,Staff,810
132,2025-01-27,Tea,Beverage,26,25,Cash,Staff,650
133,2025-01-27,Sandwich,Snacks,22,50,UPI,Student,1100
134,2025-01-27,Burger,Snacks,10,70,UPI,Staff,700
135,2025-01-27,Juice,Beverage,22,40,UPI,Staff,880
136,2025-01-28,Coffee,Beverage,19,30,UPI,Staff,570
137,2025-01-28,Tea,Beverage,5,25,UPI,Staff,125
138,2025-01-28,Sandwich,Snacks,11,50,UPI,Student,550
139,2025-01-28,Burger,Snacks,26,70,UPI,Staff,1820
140,2025-01-28,Juice,Beverage,8,40,Card,Staff,320
141,2025-01-29,Coffee,Beverage,5,30,Cash,Staff,150
142,2025-01-29,Tea,Beverage,28,25,Cash,Student,700
143,2025-01-29,Sandwich,Snacks,19,50,UPI,Student,950
144,2025-01-29,Burger,Snacks,14,70,Card,Student,980
145,2025-01-29,Juice,Beverage,8,40,Card,Student,320
146,2025-01-30,Coffee,Beverage,13,30,UPI,Staff,390
147,2025-01-30,Tea,Beverage,17,25,UPI,Student,425
148,2025-01-30,Sandwich,Snacks,12,50,Card,Staff,600
149,2025-01-30,Burger,Snacks,15,70,Card,Student,1050
150,2025-01-30,Juice,Beverage,22,40,Cash,Student,880
151,2025-01-31,Coffee,Beverage,23,30,Card,Student,690
152,2025-01-31,Tea,Beverage,9,25,Cash,Staff,225
153,2025-01-31,Sandwich,Snacks,19,50,Cash,Staff,950
154,2025-01-31,Burger,Snacks,9,70,UPI,Staff,630
155,2025-01-31,Juice,Beverage,29,40,Card,Student,1160
156,2025-02-01,Coffee,Beverage,16,30,Cash,Student,480
157,2025-02-01,Tea,Beverage,9,25,Cash,Staff,225
158,2025-02-01,Sandwich,Snacks,5,50,Cash,Staff,250
159,2025-02-01,Burger,Snacks,17,70,Card,Student,1190
160,2025-02-01,Juice,Beverage,20,40,Cash,Staff,800
161,2025-02-02,Coffee,Beverage,20,30,UPI,Staff,600
162,2025-02-02,Tea,Beverage,14,25,Cash,Staff,350
163,2025-02-02,Sandwich,Snacks,10,50,Card,Staff,500
164,2025-02-02,Burger,Snacks,27,70,Cash,Student,1890
165,2025-02-02,Juice,Beverage,7,40,UPI,Staff,280
166,2025-02-03,Coffee,Beverage,10,30,Card,Student,300
167,2025-02-03,Tea,Beverage,7,25,UPI,Staff,175
168,2025-02-03,Sandwich,Snacks,29,50,UPI,Student,1450
169,2025-02-03,Burger,Snacks,10,70,Cash,Student,700
170,2025-02-03,Juice,Beverage,21,40,Cash,Staff,840
171,2025-02-04,Coffee,Beverage,18,30,UPI,Student,540
172,2025-02-04,Tea,Beverage,7,25,Cash,Student,175
173,2025-02-04,Sandwich,Snacks,16,50,UPI,Student,800
174,2025-02-04,Burger,Snacks,11,70,UPI,Student,770
175,2025-02-04,Juice,Beverage,17,40,UPI,Staff,680
176,2025-02-05,Coffee,Beverage,29,30,Card,Student,870
177,2025-02-05,Tea,Beverage,15,25,Cash,Student,375
178,2025-02-05,Sandwich,Snacks,26,50,Card,Staff,1300
179,2025-02-05,Burger,Snacks,25,70,UPI,Student,1750
180,2025-02-05,Juice,Beverage,9,40,Card,Student,360
181,2025-02-06,Coffee,Beverage,15,30,Cash,Staff,450
182,2025-02-06,Tea,Beverage,21,25,Card,Student,525
183,2025-02-06,Sandwich,Snacks,7,50,UPI,Student,350
184,2025-02-06,Burger,Snacks,26,70,Cash,Staff,1820
185,2025-02-06,Juice,Beverage,8,40,UPI,Staff,320
186,2025-02-07,Coffee,Beverage,16,30,UPI,Staff,480
187,2025-02-07,Tea,Beverage,26,25,Cash,Staff,650
188,2025-02-07,Sandwich,Snacks,20,50,Card,Staff,1000
189,2025-02-07,Burger,Snacks,12,70,Cash,Staff,840
190,2025-02-07,Juice,Beverage,20,40,Card,Staff,800
191,2025-02-08,Coffee,Beverage,27,30,Card,Student,810
192,2025-02-08,Tea,Beverage,13,25,Card,Student,325
193,2025-02-08,Sandwich,Snacks,5,50,UPI,Staff,250
194,2025-02-08,Burger,Snacks,20,70,UPI,Student,1400
195,2025-02-08,Juice,Beverage,22,40,Card,Student,880
196,2025-02-09,Coffee,Beverage,24,30,Cash,Staff,720
197,2025-02-09,Tea,Beverage,26,25,UPI,Staff,650
198,2025-02-09,Sandwich,Snacks,7,50,Cash,Student,350
199,2025-02-09,Burger,Snacks,29,70,Cash,Student,2030
200,2025-02-09,Juice,Beverage,25,40,UPI,Staff,1000
201,2025-02-10,Coffee,Beverage,23,30,Card,Staff,690
202,2025-02-10,Tea,Beverage,21,25,UPI,Student,525
203,2025-02-10,Sandwich,Snacks,21,50,Card,Student,1050
204,2025-02-10,Burger,Snacks,9,70,Cash,Student,630
205,2025-02-10,Juice,Beverage,22,40,UPI,Staff,880
206,2025-02-11,Coffee,Beverage,5,30,Cash,Student,150
207,2025-02-11,Tea,Beverage,21,25,UPI,Student,525
208,2025-02-11,Sandwich,Snacks,8,50,Card,Staff,400
209,2025-02-11,Burger,Snacks,5,70,Card,Staff,350
210,2025-02-11,Juice,Beverage,16,40,Cash,Staff,640
211,2025-02-12,Coffee,Beverage,23,30,UPI,Staff,690
212,2025-02-12,Tea,Beverage,29,25,Card,Staff,725
213,2025-02-12,Sandwich,Snacks,12,50,Cash,Student,600
214,2025-02-12,Burger,Snacks,26,70,Card,Staff,1820
215,2025-02-12,Juice,Beverage,19,40,Cash,Student,760
216,2025-02-13,Coffee,Beverage,5,30,Card,Staff,150
217,2025-02-13,Tea,Beverage,11,25,Cash,Student,275
218,2025-02-13,Sandwich,Snacks,10,50,Card,Student,500
219,2025-02-13,Burger,Snacks,22,70,UPI,Staff,1540
220,2025-02-13,Juice,Beverage,18,40,Card,Student,720
221,2025-02-14,Coffee,Beverage,5,30,UPI,Staff,150
222,2025-02-14,Tea,Beverage,29,25,Cash,Student,725
223,2025-02-14,Sandwich,Snacks,14,50,Cash,Student,700
224,2025-02-14,Burger,Snacks,16,70,UPI,Staff,1120
225,2025-02-14,Juice,Beverage,16,40,Cash,Student,640
226,2025-02-15,Coffee,Beverage,14,30,Card,Student,420
227,2025-02-15,Tea,Beverage,12,25,Card,Student,300
228,2025-02-15,Sandwich,Snacks,18,50,Cash,Staff,900
229,2025-02-15,Burger,Snacks,7,70,Cash,Staff,490
230,2025-02-15,Juice,Beverage,18,40,UPI,Student,720
231,2025-02-16,Coffee,Beverage,10,30,Card,Staff,300
232,2025-02-16,Tea,Beverage,6,25,Card,Student,150
233,2025-02-16,Sandwich,Snacks,11,50,UPI,Staff,550
234,2025-02-16,Burger,Snacks,27,70,Card,Student,1890
235,2025-02-16,Juice,Beverage,28,40,Card,Staff,1120
236,2025-02-17,Coffee,Beverage,27,30,Cash,Student,810
237,2025-02-17,Tea,Beverage,10,25,Card,Staff,250
238,2025-02-17,Sandwich,Snacks,20,50,UPI,Student,1000
239,2025-02-17,Burger,Snacks,18,70,Cash,Student,1260
240,2025-02-17,Juice,Beverage,29,40,Card,Staff,1160
241,2025-02-18,Coffee,Beverage,12,30,Card,Student,360
242,2025-02-18,Tea,Beverage,19,25,Card,Staff,475
243,2025-02-18,Sandwich,Snacks,20,50,Cash,Staff,1000
244,2025-02-18,Burger,Snacks,29,70,UPI,Student,2030
245,2025-02-18,Juice,Beverage,17,40,Card,Student,680
246,2025-02-19,Coffee,Beverage,12,30,Cash,Student,360
247,2025-02-19,Tea,Beverage,15,25,UPI,Student,375
248,2025-02-19,Sandwich,Snacks,15,50,UPI,Student,750
249,2025-02-19,Burger,Snacks,17,70,Card,Staff,1190
250,2025-02-19,Juice,Beverage,11,40,UPI,Staff,440
251,2025-02-20,Coffee,Beverage,15,30,Card,Staff,450
252,2025-02-20,Tea,Beverage,17,25,UPI,Staff,425
253,2025-02-20,Sandwich,Snacks,18,50,Card,Student,900
254,2025-02-20,Burger,Snacks,19,70,UPI,Student,1330
255,2025-02-20,Juice,Beverage,28,40,Cash,Staff,1120
256,2025-02-21,Coffee,Beverage,11,30,Card,Student,330
257,2025-02-21,Tea,Beverage,10,25,UPI,Staff,250
258,2025-02-21,Sandwich,Snacks,24,50,Card,Student,1200
259,2025-02-21,Burger,Snacks,14,70,UPI,Staff,980
260,2025-02-21,Juice,Beverage,16,40,UPI,Student,640
261,2025-02-22,Coffee,Beverage,16,30,Card,Student,480
262,2025-02-22,Tea,Beverage,21,25,UPI,Student,525
263,2025-02-22,Sandwich,Snacks,23,50,UPI,Staff,1150
264,2025-02-22,Burger,Snacks,16,70,Card,Student,1120
265,2025-02-22,Juice,Beverage,13,40,UPI,Staff,520
266,2025-02-23,Coffee,Beverage,25,30,Card,Student,750
267,2025-02-23,Tea,Beverage,16,25,UPI,Staff,400
268,2025-02-23,Sandwich,Snacks,17,50,Cash,Student,850
269,2025-02-23,Burger,Snacks,8,70,Cash,Staff,560
270,2025-02-23,Juice,Beverage,14,40,Cash,Staff,560
271,2025-02-24,Coffee,Beverage,10,30,Cash,Student,300
272,2025-02-24,Tea,Beverage,16,25,Cash,Staff,400
273,2025-02-24,Sandwich,Snacks,24,50,Cash,Student,1200
274,2025-02-24,Burger,Snacks,5,70,Cash,Student,350
275,2025-02-24,Juice,Beverage,7,40,Cash,Student,280
276,2025-02-25,Coffee,Beverage,20,30,Card,Student,600
277,2025-02-25,Tea,Beverage,23,25,Card,Student,575
278,2025-02-25,Sandwich,Snacks,9,50,Card,Student,450
279,2025-02-25,Burger,Snacks,29,70,Cash,Student,2030
280,2025-02-25,Juice,Beverage,9,40,Cash,Staff,360
281,2025-02-26,Coffee,Beverage,23,30,UPI,Staff,690
282,2025-02-26,Tea,Beverage,22,25,Card,Staff,550
283,2025-02-26,Sandwich,Snacks,27,50,Card,Staff,1350
284,2025-02-26,Burger,Snacks,17,70,UPI,Student,1190
285,2025-02-26,Juice,Beverage,10,40,Cash,Staff,400
286,2025-02-27,Coffee,Beverage,18,30,Card,Student,540
287,2025-02-27,Tea,Beverage,29,25,Card,Staff,725
288,2025-02-27,Sandwich,Snacks,9,50,Card,Staff,450
289,2025-02-27,Burger,Snacks,12,70,UPI,Student,840
290,2025-02-27,Juice,Beverage,27,40,Cash,Student,1080
291,2025-02-28,Coffee,Beverage,14,30,Card,Staff,420
292,2025-02-28,Tea,Beverage,7,25,Cash,Student,175
293,2025-02-28,Sandwich,Snacks,13,50,UPI,Staff,650
294,2025-02-28,Burger,Snacks,17,70,Cash,Student,1190
295,2025-02-28,Juice,Beverage,28,40,Card,Student,1120
296,2025-03-01,Coffee,Beverage,23,30,Card,Staff,690
297,2025-03-01,Tea,Beverage,9,25,Cash,Student,225
298,2025-03-01,Sandwich,Snacks,9,50,Card,Staff,450
299,2025-03-01,Burger,Snacks,6,70,UPI,Student,420
300,2025-03-01,Juice,Beverage,25,40,Card,Student,1000
301,2025-03-02,Coffee,Beverage,10,30,UPI,Student,300
302,2025-03-02,Tea,Beverage,8,25,UPI,Student,200
303,2025-03-02,Sandwich,Snacks,11,50,Card,Student,550
304,2025-03-02,Burger,Snacks,10,70,Cash,Staff,700
305,2025-03-02,Juice,Beverage,28,40,Card,Student,1120
306,2025-03-03,Coffee,Beverage,12,30,Cash,Staff,360
307,2025-03-03,Tea,Beverage,11,25,Card,Staff,275
308,2025-03-03,Sandwich,Snacks,19,50,UPI,Student,950
309,2025-03-03,Burger,Snacks,21,70,UPI,Student,1470
310,2025-03-03,Juice,Beverage,6,40,UPI,Student,240
311,2025-03-04,Coffee,Beverage,20,30,Cash,Student,600
312,2025-03-04,Tea,Beverage,29,25,UPI,Student,725
313,2025-03-04,Sandwich,Snacks,19,50,UPI,Student,950
314,2025-03-04,Burger,Snacks,23,70,Card,Staff,1610
315,2025-03-04,Juice,Beverage,17,40,Card,Staff,680
316,2025-03-05,Coffee,Beverage,27,30,UPI,Staff,810
317,2025-03-05,Tea,Beverage,9,25,UPI,Student,225
318,2025-03-05,Sandwich,Snacks,6,50,Card,Staff,300
319,2025-03-05,Burger,Snacks,9,70,Card,Staff,630
320,2025-03-05,Juice,Beverage,23,40,Cash,Staff,920
321,2025-03-06,Coffee,Beverage,15,30,UPI,Student,450
322,2025-03-06,Tea,Beverage,9,25,Cash,Staff,225
323,2025-03-06,Sandwich,Snacks,13,50,Card,Student,650
324,2025-03-06,Burger,Snacks,13,70,Card,Staff,910
325,2025-03-06,Juice,Beverage,26,40,Card,Staff,1040
326,2025-03-07,Coffee,Beverage,22,30,Cash,Student,660
327,2025-03-07,Tea,Beverage,9,25,Cash,Student,225
328,2025-03-07,Sandwich,Snacks,16,50,Cash,Staff,800
329,2025-03-07,Burger,Snacks,19,70,Card,Student,1330
330,2025-03-07,Juice,Beverage,5,40,UPI,Staff,200
331,2025-03-08,Coffee,Beverage,23,30,Cash,Staff,690
332,2025-03-08,Tea,Beverage,21,25,UPI,Staff,525
333,2025-03-08,Sandwich,Snacks,22,50,Card,Staff,1100
334,2025-03-08,Burger,Snacks,25,70,UPI,Staff,1750
335,2025-03-08,Juice,Beverage,20,40,UPI,Student,800
336,2025-03-09,Coffee,Beverage,14,30,Card,Student,420
337,2025-03-09,Tea,Beverage,7,25,UPI,Student,175
338,2025-03-09,Sandwich,Snacks,27,50,UPI,Student,1350
339,2025-03-09,Burger,Snacks,5,70,Cash,Staff,350
340,2025-03-09,Juice,Beverage,18,40,Cash,Student,720
341,2025-03-10,Coffee,Beverage,7,30,UPI,Staff,210
342,2025-03-10,Tea,Beverage,24,25,Cash,Student,600
343,2025-03-10,Sandwich,Snacks,12,50,UPI,Student,600
344,2025-03-10,Burger,Snacks,22,70,Cash,Student,1540
345,2025-03-10,Juice,Beverage,20,40,UPI,Staff,800
346,2025-03-11,Coffee,Beverage,28,30,Cash,Student,840
347,2025-03-11,Tea,Beverage,5,25,Card,Staff,125
348,2025-03-11,Sandwich,Snacks,27,50,UPI,Student,1350
349,2025-03-11,Burger,Snacks,28,70,Cash,Staff,1960
350,2025-03-11,Juice,Beverage,9,40,Card,Staff,360
351,2025-03-12,Coffee,Beverage,9,30,Card,Staff,270
352,2025-03-12,Tea,Beverage,18,25,Card,Student,450
353,2025-03-12,Sandwich,Snacks,18,50,Card,Student,900
354,2025-03-12,Burger,Snacks,15,70,Cash,Staff,1050
355,2025-03-12,Juice,Beverage,25,40,UPI,Staff,1000
356,2025-03-13,Coffee,Beverage,11,30,Cash,Student,330
357,2025-03-13,Tea,Beverage,29,25,Card,Student,725
358,2025-03-13,Sandwich,Snacks,13,50,Card,Staff,650
359,2025-03-13,Burger,Snacks,21,70,Card,Student,1470
360,2025-03-13,Juice,Beverage,23,40,Card,Student,920
361,2025-03-14,Coffee,Beverage,14,30,Cash,Student,420
362,2025-03-14,Tea,Beverage,28,25,Cash,Student,700
363,2025-03-14,Sandwich,Snacks,20,50,Cash,Staff,1000
364,2025-03-14,Burger,Snacks,8,70,UPI,Staff,560
365,2025-03-14,Juice,Beverage,12,40,Card,Student,480
366,2025-03-15,Coffee,Beverage,29,30,Card,Staff,870
367,2025-03-15,Tea,Beverage,14,25,Cash,Student,350
368,2025-03-15,Sandwich,Snacks,13,50,UPI,Staff,650
369,2025-03-15,Burger,Snacks,5,70,Cash,Staff,350
370,2025-03-15,Juice,Beverage,23,40,Card,Student,920
371,2025-03-16,Coffee,Beverage,12,30,Cash,Staff,360
372,2025-03-16,Tea,Beverage,6,25,Cash,Student,150
373,2025-03-16,Sandwich,Snacks,10,50,Card,Staff,500
374,2025-03-16,Burger,Snacks,6,70,Cash,Staff,420
375,2025-03-16,Juice,Beverage,19,40,UPI,Student,760
376,2025-03-17,Coffee,Beverage,10,30,Card,Student,300
377,2025-03-17,Tea,Beverage,14,25,Card,Staff,350
378,2025-03-17,Sandwich,Snacks,18,50,UPI,Student,900
379,2025-03-17,Burger,Snacks,18,70,Card,Staff,1260
380,2025-03-17,Juice,Beverage,10,40,Card,Student,400
381,2025-03-18,Coffee,Beverage,28,30,Card,Staff,840
382,2025-03-18,Tea,Beverage,8,25,Card,Staff,200
383,2025-03-18,Sandwich,Snacks,10,50,Cash,Student,500
384,2025-03-18,Burger,Snacks,27,70,Cash,Student,1890
385,2025-03-18,Juice,Beverage,22,40,Card,Staff,880
386,2025-03-19,Coffee,Beverage,18,30,Cash,Staff,540
387,2025-03-19,Tea,Beverage,19,25,Cash,Student,475
388,2025-03-19,Sandwich,Snacks,22,50,Card,Staff,1100
389,2025-03-19,Burger,Snacks,26,70,UPI,Staff,1820
390,2025-03-19,Juice,Beverage,20,40,UPI,Student,800
391,2025-03-20,Coffee,Beverage,25,30,UPI,Student,750
392,2025-03-20,Tea,Beverage,13,25,UPI,Staff,325
393,2025-03-20,Sandwich,Snacks,12,50,Card,Staff,600
394,2025-03-20,Burger,Snacks,23,70,UPI,Student,1610
395,2025-03-20,Juice,Beverage,8,40,Card,Staff,320
396,2025-03-21,Coffee,Beverage,20,30,UPI,Student,600
397,2025-03-21,Tea,Beverage,17,25,Card,Staff,425
398,2025-03-21,Sandwich,Snacks,8,50,Cash,Student,400
399,2025-03-21,Burger,Snacks,25,70,Card,Staff,1750
400,2025-03-21,Juice,Beverage,14,40,UPI,Staff,560
401,2025-03-22,Coffee,Beverage,12,30,Card,Student,360
402,2025-03-22,Tea,Beverage,5,25,UPI,Student,125
403,2025-03-22,Sandwich,Snacks,6,50,Cash,Staff,300
404,2025-03-22,Burger,Snacks,12,70,UPI,Student,840
405,2025-03-22,Juice,Beverage,5,40,UPI,Staff,200
406,2025-03-23,Coffee,Beverage,10,30,UPI,Student,300
407,2025-03-23,Tea,Beverage,6,25,UPI,Staff,150
408,2025-03-23,Sandwich,Snacks,13,50,UPI,Staff,650
409,2025-03-23,Burger,Snacks,25,70,Cash,Staff,1750
410,2025-03-23,Juice,Beverage,27,40,UPI,Staff,1080
411,2025-03-24,Coffee,Beverage,8,30,Card,Staff,240
412,2025-03-24,Tea,Beverage,10,25,UPI,Staff,250
413,2025-03-24,Sandwich,Snacks,9,50,Card,Staff,450
414,2025-03-24,Burger,Snacks,27,70,UPI,Student,1890
415,2025-03-24,Juice,Beverage,28,40,Cash,Student,1120
416,2025-03-25,Coffee,Beverage,24,30,Card,Student,720
417,2025-03-25,Tea,Beverage,21,25,Cash,Staff,525
418,2025-03-25,Sandwich,Snacks,14,50,Cash,Student,700
419,2025-03-25,Burger,Snacks,20,70,UPI,Student,1400
420,2025-03-25,Juice,Beverage,16,40,UPI,Staff,640
421,2025-03-26,Coffee,Beverage,18,30,UPI,Student,540
422,2025-03-26,Tea,Beverage,29,25,Card,Student,725
423,2025-03-26,Sandwich,Snacks,7,50,Card,Staff,350
424,2025-03-26,Burger,Snacks,22,70,Cash,Staff,1540
425,2025-03-26,Juice,Beverage,8,40,UPI,Staff,320
426,2025-03-27,Coffee,Beverage,24,30,Cash,Student,720
427,2025-03-27,Tea,Beverage,19,25,Cash,Student,475
428,2025-03-27,Sandwich,Snacks,11,50,Card,Student,550
429,2025-03-27,Burger,Snacks,18,70,UPI,Staff,1260
430,2025-03-27,Juice,Beverage,22,40,Card,Student,880
431,2025-03-28,Coffee,Beverage,27,30,UPI,Staff,810
432,2025-03-28,Tea,Beverage,11,25,Cash,Student,275
433,2025-03-28,Sandwich,Snacks,27,50,Card,Staff,1350
434,2025-03-28,Burger,Snacks,28,70,Cash,Staff,1960
