inventory_id,date_of_entry,item_name,stock_in,stock_used,remaining_stock,unit_cost,supplier_name
128,2025-01-26,Sandwich,64,39,25,40,Default Supplier
129,2025-01-26,Burger,102,34,68,60,Default Supplier
130,2025-01-26,Juice,107,78,29,30,Default Supplier
131,2025-01-27,Coffee,148,114,34,20,Default Supplier
132,2025-01-27,Tea,110,71,39,15,Default Supplier
133,2025-01-27,Sandwich,50,20,30,40,Default Supplier
134,2025-01-27,Burger,73,33,40,60,Default Supplier
135,2025-01-27,Juice,74,68,6,30,Default Supplier
136,2025-01-28,Coffee,117,46,71,20,Default Supplier
137,2025-01-28,Tea,81,56,25,15,Default Supplier
138,2025-01-28,Sandwich,132,49,83,40,Default Supplier
139,2025-01-28,Burger,130,75,55,60,Default Supplier
140,2025-01-28,Juice,88,44,44,30,Default Supplier
141,2025-01-29,Coffee,93,32,61,20,Default Supplier
142,2025-01-29,Tea,98,50,48,15,Default Supplier
143,2025-01-29,Sandwich,122,97,25,40,Default Supplier
144,2025-01-29,Burger,96,76,20,60,Default Supplier
145,2025-01-29,Juice,61,20,41,30,Default Supplier
146,2025-01-30,Coffee,149,52,97,20,Default Supplier
147,2025-01-30,Tea,94,38,56,15,Default Supplier
148,2025-01-30,Sandwich,114,94,20,40,Default Supplier
149,2025-01-30,Burger,101,60,41,60,Default Supplier
150,2025-01-30,Juice,74,42,32,30,Default Supplier
151,2025-01-31,Coffee,63,34,29,20,Default Supplier
152,2025-01-31,Tea,97,25,72,15,Default Supplier
153,2025-01-31,Sandwich,81,65,16,40,Default Supplier
154,2025-01-31,Burger,130,92,38,60,Default Supplier
155,2025-01-31,Juice,95,48,47,30,Default Supplier
156,2025-02-01,Coffee,109,36,73,20,Default Supplier
157,2025-02-01,Tea,63,38,25,15,Default Supplier
158,2025-02-01,Sandwich,105,32,73,40,Default Supplier
159,2025-02-01,Burger,102,95,7,60,Default Supplier
160,2025-02-01,Juice,101,31,70,30,Default Supplier
161,2025-02-02,Coffee,67,44,23,20,Default Supplier
162,2025-02-02,Tea,94,78,16,15,Default Supplier
163,2025-02-02,Sandwich,80,67,13,40,Default Supplier
164,2025-02-02,Burger,74,41,33,60,Default Supplier
165,2025-02-02,Juice,145,112,33,30,Default Supplier
166,2025-02-03,Coffee,103,23,80,20,Default Supplier
167,2025-02-03,Tea,68,55,13,15,Default Supplier
168,2025-02-03,Sandwich,118,52,66,40,Default Supplier
169,2025-02-03,Burger,140,72,68,60,Default Supplier
170,2025-02-03,Juice,114,73,41,30,Default Supplier
171,2025-02-04,Coffee,133,98,35,20,Default Supplier
172,2025-02-04,Tea,72,55,17,15,Default Supplier
173,2025-02-04,Sandwich,69,48,21,40,Default Supplier
174,2025-02-04,Burger,55,35,20,60,Default Supplier
175,2025-02-04,Juice,138,20,118,30,Default Supplier
176,2025-02-05,Coffee,113,92,21,20,Default Supplier
177,2025-02-05,Tea,79,65,14,15,Default Supplier
178,2025-02-05,Sandwich,117,71,46,40,Default Supplier
179,2025-02-05,Burger,75,65,10,60,Default Supplier
180,2025-02-05,Juice,76,34,42,30,Default Supplier
181,2025-02-06,Coffee,105,87,18,20,Default Supplier
182,2025-02-06,Tea,69,60,9,15,Default Supplier
183,2025-02-06,Sandwich,59,29,30,40,Default Supplier
184,2025-02-06,Burger,99,77,22,60,Default Supplier
185,2025-02-06,Juice,105,70,35,30,Default Supplier
186,2025-02-07,Coffee,128,48,80,20,Default Supplier
187,2025-02-07,Tea,96,47,49,15,Default Supplier
188,2025-02-07,Sandwich,52,27,25,40,Default Supplier
189,2025-02-07,Burger,55,27,28,60,Default Supplier
190,2025-02-07,Juice,138,56,82,30,Default Supplier
191,2025-02-08,Coffee,133,80,53,20,Default Supplier
192,2025-02-08,Tea,83,23,60,15,Default Supplier
193,2025-02-08,Sandwich,52,36,16,40,Default Supplier
194,2025-02-08,Burger,103,57,46,60,Default Supplier
195,2025-02-08,Juice,71,60,11,30,Default Supplier
196,2025-02-09,Coffee,65,64,1,20,Default Supplier
197,2025-02-09,Tea,112,64,48,15,Default Supplier
198,2025-02-09,Sandwich,98,74,24,40,Default Supplier
199,2025-02-09,Burger,65,64,1,60,Default Supplier
200,2025-02-09,Juice,133,117,16,30,Default Supplier
201,2025-02-10,Coffee,82,42,40,20,Default Supplier
202,2025-02-10,Tea,80,51,29,15,Default Supplier
203,2025-02-10,Sandwich,137,133,4,40,Default Supplier
204,2025-02-10,Burger,136,63,73,60,Default Supplier
205,2025-02-10,Juice,88,51,37,30,Default Supplier
206,2025-02-11,Coffee,62,25,37,20,Default Supplier
207,2025-02-11,Tea,99,33,66,15,Default Supplier
208,2025-02-11,Sandwich,144,135,9,40,Default Supplier
209,2025-02-11,Burger,68,24,44,60,Default Supplier
210,2025-02-11,Juice,83,32,51,30,Default Supplier
211,2025-02-12,Coffee,140,28,112,20,Default Supplier
212,2025-02-12,Tea,94,45,49,15,Default Supplier
213,2025-02-12,Sandwich,128,86,42,40,Default Supplier
214,2025-02-12,Burger,112,110,2,60,Default Supplier
215,2025-02-12,Juice,82,65,17,30,Default Supplier
216,2025-02-13,Coffee,132,110,22,20,Default Supplier
217,2025-02-13,Tea,60,27,33,15,Default Supplier
218,2025-02-13,Sandwich,113,68,45,40,Default Supplier
219,2025-02-13,Burger,134,38,96,60,Default Supplier
220,2025-02-13,Juice,72,57,15,30,Default Supplier
221,2025-02-14,Coffee,105,89,16,20,Default Supplier
222,2025-02-14,Tea,123,111,12,15,Default Supplier
223,2025-02-14,Sandwich,127,116,11,40,Default Supplier
224,2025-02-14,Burger,85,62,23,60,Default Supplier
225,2025-02-14,Juice,73,24,49,30,Default Supplier
226,2025-02-15,Coffee,147,22,125,20,Default Supplier
227,2025-02-15,Tea,55,40,15,15,Default Supplier
228,2025-02-15,Sandwich,129,29,100,40,Default Supplier
229,2025-02-15,Burger,131,103,28,60,Default Supplier
230,2025-02-15,Juice,121,120,1,30,Default Supplier
231,2025-02-16,Coffee,67,26,41,20,Default Supplier
232,2025-02-16,Tea,114,66,48,15,Default Supplier
233,2025-02-16,Sandwich,72,34,38,40,Default Supplier
234,2025-02-16,Burger,69,24,45,60,Default Supplier
235,2025-02-16,Juice,72,25,47,30,Default Supplier
236,2025-02-17,Coffee,67,59,8,20,Default Supplier
237,2025-02-17,Tea,59,28,31,15,Default Supplier
238,2025-02-17,Sandwich,90,26,64,40,Default Supplier
239,2025-02-17,Burger,56,55,1,60,Default Supplier
240,2025-02-17,Juice,109,70,39,30,Default Supplier
241,2025-02-18,Coffee,56,47,9,20,Default Supplier
242,2025-02-18,Tea,139,84,55,15,Default Supplier
243,2025-02-18,Sandwich,147,121,26,40,Default Supplier
244,2025-02-18,Burger,125,110,15,60,Default Supplier
245,2025-02-18,Juice,116,35,81,30,Default Supplier
246,2025-02-19,Coffee,118,81,37,20,Default Supplier
247,2025-02-19,Tea,58,28,30,15,Default Supplier
248,2025-02-19,Sandwich,69,53,16,40,Default Supplier
249,2025-02-19,Burger,145,93,52,60,Default Supplier
250,2025-02-19,Juice,82,61,21,30,Default Supplier
251,2025-02-20,Coffee,89,64,25,20,Default Supplier
252,2025-02-20,Tea,104,85,19,15,Default Supplier
253,2025-02-20,Sandwich,55,44,11,40,Default Supplier
254,2025-02-20,Burger,101,65,36,60,Default Supplier
255,2025-02-20,Juice,146,116,30,30,Default Supplier
256,2025-02-21,Coffee,87,20,67,20,Default Supplier
257,2025-02-21,Tea,139,89,50,15,Default Supplier
258,2025-02-21,Sandwich,114,94,20,40,Default Supplier
259,2025-02-21,Burger,108,27,81,60,Default Supplier
260,2025-02-21,Juice,127,65,62,30,Default Supplier
261,2025-02-22,Coffee,122,115,7,20,Default Supplier
262,2025-02-22,Tea,77,53,24,15,Default Supplier
263,2025-02-22,Sandwich,72,33,39,40,Default Supplier
264,2025-02-22,Burger,131,104,27,60,Default Supplier
265,2025-02-22,Juice,73,49,24,30,Default Supplier
266,2025-02-23,Coffee,54,51,3,20,Default Supplier
267,2025-02-23,Tea,114,106,8,15,Default Supplier
268,2025-02-23,Sandwich,105,51,54,40,Default Supplier
269,2025-02-23,Burger,143,97,46,60,Default Supplier
270,2025-02-23,Juice,74,40,34,30,Default Supplier
271,2025-02-24,Coffee,53,29,24,20,Default Supplier
272,2025-02-24,Tea,69,45,24,15,Default Supplier
273,2025-02-24,Sandwich,52,25,27,40,Default Supplier
274,2025-02-24,Burger,82,54,28,60,Default Supplier
275,2025-02-24,Juice,142,73,69,30,Default Supplier
276,2025-02-25,Coffee,124,101,23,20,Default Supplier
277,2025-02-25,Tea,72,65,7,15,Default Supplier
278,2025-02-25,Sandwich,105,66,39,40,Default Supplier
279,2025-02-25,Burger,141,31,110,60,Default Supplier
280,2025-02-25,Juice,108,22,86,30,Default Supplier
281,2025-02-26,Coffee,101,58,43,20,Default Supplier
282,2025-02-26,Tea,128,33,95,15,Default Supplier
283,2025-02-26,Sandwich,119,24,95,40,Default Supplier
284,2025-02-26,Burger,80,21,59,60,Default Supplier
285,2025-02-26,Juice,106,50,56,30,Default Supplier
286,2025-02-27,Coffee,109,81,28,20,Default Supplier
287,2025-02-27,Tea,131,99,32,15,Default Supplier
288,2025-02-27,Sandwich,94,48,46,40,Default Supplier
289,2025-02-27,Burger,130,55,75,60,Default Supplier
290,2025-02-27,Juice,96,23,73,30,Default Supplier
291,2025-02-28,Coffee,133,121,12,20,Default Supplier
292,2025-02-28,Tea,121,47,74,15,Default Supplier
293,2025-02-28,Sandwich,92,68,24,40,Default Supplier
294,2025-02-28,Burger,96,80,16,60,Default Supplier
295,2025-02-28,Juice,88,47,41,30,Default Supplier
296,2025-03-01,Coffee,80,54,26,20,Default Supplier
297,2025-03-01,Tea,56,52,4,15,Default Supplier
298,2025-03-01,Sandwich,111,110,1,40,Default Supplier
299,2025-03-01,Burger,87,22,65,60,Default Supplier
300,2025-03-01,Juice,54,33,21,30,Default Supplier
301,2025-03-02,Coffee,73,70,3,20,Default Supplier
302,2025-03-02,Tea,104,92,12,15,Default Supplier
303,2025-03-02,Sandwich,141,42,99,40,Default Supplier
304,2025-03-02,Burger,114,103,11,60,Default Supplier
305,2025-03-02,Juice,115,35,80,30,Default Supplier
306,2025-03-03,Coffee,134,31,103,20,Default Supplier
307,2025-03-03,Tea,58,40,18,15,Default Supplier
308,2025-03-03,Sandwich,63,39,24,40,Default Supplier
309,2025-03-03,Burger,128,55,73,60,Default Supplier
310,2025-03-03,Juice,75,73,2,30,Default Supplier
311,2025-03-04,Coffee,129,68,61,20,Default Supplier
312,2025-03-04,Tea,51,29,22,15,Default Supplier
313,2025-03-04,Sandwich,81,67,14,40,Default Supplier
314,2025-03-04,Burger,70,65,5,60,Default Supplier
315,2025-03-04,Juice,133,121,12,30,Default Supplier
316,2025-03-05,Coffee,124,71,53,20,Default Supplier
317,2025-03-05,Tea,144,118,26,15,Default Supplier
318,2025-03-05,Sandwich,122,113,9,40,Default Supplier
319,2025-03-05,Burger,124,40,84,60,Default Supplier
320,2025-03-05,Juice,53,37,16,30,Default Supplier
321,2025-03-06,Coffee,76,73,3,20,Default Supplier
322,2025-03-06,Tea,86,77,9,15,Default Supplier
323,2025-03-06,Sandwich,54,40,14,40,Default Supplier
324,2025-03-06,Burger,59,33,26,60,Default Supplier
325,2025-03-06,Juice,86,46,40,30,Default Supplier
326,2025-03-07,Coffee,115,61,54,20,Default Supplier
327,2025-03-07,Tea,134,51,83,15,Default Supplier
328,2025-03-07,Sandwich,111,102,9,40,Default Supplier
329,2025-03-07,Burger,77,30,47,60,Default Supplier
330,2025-03-07,Juice,147,133,14,30,Default Supplier
331,2025-03-08,Coffee,53,38,15,20,Default Supplier
332,2025-03-08,Tea,62,54,8,15,Default Supplier
333,2025-03-08,Sandwich,142,138,4,40,Default Supplier
334,2025-03-08,Burger,86,67,19,60,Default Supplier
335,2025-03-08,Juice,84,55,29,30,Default Supplier
336,2025-03-09,Coffee,111,104,7,20,Default Supplier
337,2025-03-09,Tea,105,42,63,15,Default Supplier
338,2025-03-09,Sandwich,133,106,27,40,Default Supplier
339,2025-03-09,Burger,128,45,83,60,Default Supplier
340,2025-03-09,Juice,79,30,49,30,Default Supplier
341,2025-03-10,Coffee,111,24,87,20,Default Supplier
342,2025-03-10,Tea,83,21,62,15,Default Supplier
343,2025-03-10,Sandwich,85,71,14,40,Default Supplier
344,2025-03-10,Burger,146,22,124,60,Default Supplier
345,2025-03-10,Juice,105,89,16,30,Default Supplier
346,2025-03-11,Coffee,60,53,7,20,Default Supplier
347,2025-03-11,Tea,121,50,71,15,Default Supplier
348,2025-03-11,Sandwich,54,24,30,40,Default Supplier
349,2025-03-11,Burger,96,94,2,60,Default Supplier
350,2025-03-11,Juice,144,20,124,30,Default Supplier
351,2025-03-12,Coffee,135,74,61,20,Default Supplier
352,2025-03-12,Tea,66,27,39,15,Default Supplier
353,2025-03-12,Sandwich,84,30,54,40,Default Supplier
354,2025-03-12,Burger,78,31,47,60,Default Supplier
355,2025-03-12,Juice,142,103,39,30,Default Supplier
356,2025-03-13,Coffee,146,141,5,20,Default Supplier
357,2025-03-13,Tea,100,86,14,15,Default Supplier
358,2025-03-13,Sandwich,84,46,38,40,Default Supplier
359,2025-03-13,Burger,149,23,126,60,Default Supplier
360,2025-03-13,Juice,100,70,30,30,Default Supplier
361,2025-03-14,Coffee,103,72,31,20,Default Supplier
362,2025-03-14,Tea,147,65,82,15,Default Supplier
363,2025-03-14,Sandwich,99,95,4,40,Default Supplier
364,2025-03-14,Burger,93,80,13,60,Default Supplier
365,2025-03-14,Juice,53,45,8,30,Default Supplier
366,2025-03-15,Coffee,130,98,32,20,Default Supplier
367,2025-03-15,Tea,143,93,50,15,Default Supplier
368,2025-03-15,Sandwich,79,52,27,40,Default Supplier
369,2025-03-15,Burger,143,99,44,60,Default Supplier
370,2025-03-15,Juice,54,33,21,30,Default Supplier
371,2025-03-16,Coffee,75,49,26,20,Default Supplier
372,2025-03-16,Tea,99,96,3,15,Default Supplier
373,2025-03-16,Sandwich,86,43,43,40,Default Supplier
374,2025-03-16,Burger,111,38,73,60,Default Supplier
375,2025-03-16,Juice,139,120,19,30,Default Supplier
376,2025-03-17,Coffee,146,123,23,20,Default Supplier
377,2025-03-17,Tea,54,26,28,15,Default Supplier
378,2025-03-17,Sandwich,111,69,42,40,Default Supplier
379,2025-03-17,Burger,85,26,59,60,Default Supplier
380,2025-03-17,Juice,59,25,34,30,Default Supplier
381,2025-03-18,Coffee,139,89,50,20,Default Supplier
382,2025-03-18,Tea,70,26,44,15,Default Supplier
383,2025-03-18,Sandwich,123,116,7,40,Default Supplier
384,2025-03-18,Burger,80,22,58,60,Default Supplier
385,2025-03-18,Juice,65,40,25,30,Default Supplier
386,2025-03-19,Coffee,128,93,35,20,Default Supplier
387,2025-03-19,Tea,147,98,49,15,Default Supplier
388,2025-03-19,Sandwich,80,73,7,40,Default Supplier
389,2025-03-19,Burger,142,99,43,60,Default Supplier
390,2025-03-19,Juice,115,43,72,30,Default Supplier
391,2025-03-20,Coffee,102,79,23,20,Default Supplier
392,2025-03-20,Tea,68,59,9,15,Default Supplier
393,2025-03-20,Sandwich,79,25,54,40,Default Supplier
394,2025-03-20,Burger,51,37,14,60,Default Supplier
395,2025-03-20,Juice,92,85,7,30,Default Supplier
396,2025-03-21,Coffee,58,46,12,20,Default Supplier
397,2025-03-21,Tea,68,26,42,15,Default Supplier
398,2025-03-21,Sandwich,121,82,39,40,Default Supplier
399,2025-03-21,Burger,64,21,43,60,Default Supplier
400,2025-03-21,Juice,84,25,59,30,Default Supplier
401,2025-03-22,Coffee,103,49,54,20,Default Supplier
402,2025-03-22,Tea,131,123,8,15,Default Supplier
403,2025-03-22,Sandwich,81,39,42,40,Default Supplier
404,2025-03-22,Burger,141,46,95,60,Default Supplier
405,2025-03-22,Juice,65,24,41,30,Default Supplier
406,2025-03-23,Coffee,117,106,11,20,Default Supplier
407,2025-03-23,Tea,56,51,5,15,Default Supplier
408,2025-03-23,Sandwich,105,68,37,40,Default Supplier
409,2025-03-23,Burger,93,59,34,60,Default Supplier
410,2025-03-23,Juice,129,114,15,30,Default Supplier
411,2025-03-24,Coffee,68,64,4,20,Default Supplier
412,2025-03-24,Tea,65,29,36,15,Default Supplier
413,2025-03-24,Sandwich,108,29,79,40,Default Supplier
414,2025-03-24,Burger,138,129,9,60,Default Supplier
415,2025-03-24,Juice,136,120,16,30,Default Supplier
416,2025-03-25,Coffee,116,101,15,20,Default Supplier
417,2025-03-25,Tea,121,54,67,15,Default Supplier
418,2025-03-25,Sandwich,55,38,17,40,Default Supplier
419,2025-03-25,Burger,95,34,61,60,Default Supplier
420,2025-03-25,Juice,77,32,45,30,Default Supplier
421,2025-03-26,Coffee,110,30,80,20,Default Supplier
422,2025-03-26,Tea,139,63,76,15,Default Supplier
423,2025-03-26,Sandwich,82,40,42,40,Default Supplier
424,2025-03-26,Burger,99,37,62,60,Default Supplier
425,2025-03-26,Juice,130,72,58,30,Default Supplier
426,2025-03-27,Coffee,84,74,10,20,Default Supplier
427,2025-03-27,Tea,75,61,14,15,Default Supplier
428,2025-03-27,Sandwich,58,39,19,40,Default Supplier
429,2025-03-27,Burger,143,98,45,60,Default Supplier
430,2025-03-27,Juice,97,44,53,30,Default Supplier
431,2025-03-28,Coffee,80,50,30,20,Default Supplier
432,2025-03-28,Tea,115,57,58,15,Default Supplier
433,2025-03-28,Sandwich,131,98,33,40,Default Supplier
434,2025-03-28,Burger,134,84,50,60,Default Supplier
435,2025-03-28,Juice,145,50,95,30,Default Supplier
436,2025-03-29,Coffee,133,107,26,20,Default Supplier
437,2025-03-29,Tea,144,23,121,15,Default Supplier
438,2025-03-29,Sandwich,55,23,32,40,Default Supplier
439,2025-03-29,Burger,65,61,4,60,Default Supplier
440,2025-03-29,Juice,92,58,34,30,Default Supplier
441,2025-03-30,Coffee,109,53,56,20,Default Supplier
442,2025-03-30,Tea,145,27,118,15,Default Supplier
443,2025-03-30,Sandwich,120,73,47,40,Default Supplier
444,2025-03-30,Burger,50,40,10,60,Default Supplier
445,2025-03-30,Juice,122,92,30,30,Default Supplier
446,2025-03-31,Coffee,147,106,41,20,Default Supplier
447,2025-03-31,Tea,106,51,55,15,Default Supplier
448,2025-03-31,Sandwich,123,83,40,40,Default Supplier
449,2025-03-31,Burger,147,113,34,60,Default Supplier
450,2025-03-31,Juice,99,94,5,30,Default Supplier
451,2025-04-01,Coffee,103,58,45,20,Default Supplier
452,2025-04-01,Tea,148,88,60,15,Default Supplier
453,2025-04-01,Sandwich,96,88,8,40,Default Supplier
454,2025-04-01,Burger,109,104,5,60,Default Supplier
455,2025-04-01,Juice,98,39,59,30,Default Supplier
456,2025-04-02,Coffee,76,66,10,20,Default Supplier
457,2025-04-02,Tea,63,26,37,15,Default Supplier
458,2025-04-02,Sandwich,149,40,109,40,Default Supplier
459,2025-04-02,Burger,96,26,70,60,Default Supplier
460,2025-04-02,Juice,75,55,20,30,Default Supplier
461,2025-04-03,Coffee,86,64,22,20,Default Supplier
462,2025-04-03,Tea,132,65,67,15,Default Supplier
463,2025-04-03,Sandwich,52,42,10,40,Default Supplier
464,2025-04-03,Burger,122,76,46,60,Default Supplier
465,2025-04-03,Juice,95,84,11,30,Default Supplier
466,2025-04-04,Coffee,92,83,9,20,Default Supplier
467,2025-04-04,Tea,104,50,54,15,Default Supplier
468,2025-04-04,Sandwich,51,24,27,40,Default Supplier
469,2025-04-04,Burger,105,96,9,60,Default Supplier
470,2025-04-04,Juice,56,26,30,30,Default Supplier
471,2025-04-05,Coffee,67,31,36,20,Default Supplier
472,2025-04-05,Tea,51,47,4,15,Default Supplier
473,2025-04-05,Sandwich,74,62,12,40,Default Supplier
474,2025-04-05,Burger,116,97,19,60,Default Supplier
475,2025-04-05,Juice,141,33,108,30,Default Supplier
476,2025-04-06,Coffee,56,29,27,20,Default Supplier
477,2025-04-06,Tea,144,71,73,15,Default Supplier
478,2025-04-06,Sandwich,124,41,83,40,Default Supplier
479,2025-04-06,Burger,108,105,3,60,Default Supplier
480,2025-04-06,Juice,115,48,67,30,Default Supplier
481,2025-04-07,Coffee,76,70,6,20,Default Supplier
482,2025-04-07,Tea,130,84,46,15,Default Supplier
483,2025-04-07,Sandwich,111,72,39,40,Default Supplier
484,2025-04-07,Burger,69,54,15,60,Default Supplier
485,2025-04-07,Juice,128,33,95,30,Default Supplier
486,2025-04-08,Coffee,100,72,28,20,Default Supplier
